mmsi;imo_nr;length;date_time_utc;lon;lat;sog;cog;true_heading;nav_status;message_nr
212710000;9195834;95;2018-01-02 06:43:10;9.76057;59.0144;11.2;128.3;127;0;1
212710000;9195834;95;2018-01-02 06:43:22;9.76152;59.014;11.2;128.6;127;0;1
212710000;9195834;95;2018-01-02 06:43:30;9.76215;59.0137;11.3;128.4;128;0;1
212710000;9195834;95;2018-01-02 06:43:41;9.76301;59.0134;11.3;129.2;128;0;1
212710000;9195834;95;2018-01-02 06:43:52;9.76372;59.0131;11.3;129.2;128;0;1
212710000;9195834;95;2018-01-02 06:44:03;9.76458;59.0127;11.3;129.6;128;0;1
212710000;9195834;95;2018-01-02 06:44:12;9.76536;59.0124;11.3;129.9;128;0;1
212710000;9195834;95;2018-01-02 06:44:23;9.76622;59.012;11.3;130.0;128;0;1
212710000;9195834;95;2018-01-02 06:44:31;9.76692;59.0117;11.3;129.8;129;0;1
212710000;9195834;95;2018-01-02 06:44:42;9.76762;59.0114;11.3;130.4;128;0;1
212710000;9195834;95;2018-01-02 06:44:51;9.7684;59.011;11.3;130.0;129;0;1
212710000;9195834;95;2018-01-02 06:45:02;9.76926;59.0107;11.3;130.0;128;0;1
212710000;9195834;95;2018-01-02 06:45:13;9.77005;59.0103;11.3;130.0;128;0;1
212710000;9195834;95;2018-01-02 06:45:22;9.77091;59.01;11.3;129.6;129;0;1
212710000;9195834;95;2018-01-02 06:45:32;9.77161;59.0097;11.3;129.5;128;0;1
231800000;9818319;89;2018-01-02 07:26:02;9.77172;59.0096;9.8;309.9;308;0;1
231800000;9818319;89;2018-01-02 07:26:13;9.77103;59.0099;9.8;308.4;307;0;1
231800000;9818319;89;2018-01-02 07:26:32;9.76962;59.0104;9.9;305.3;307;0;1
231800000;9818319;89;2018-01-02 07:26:42;9.76883;59.0107;9.9;307.2;308;0;1
231800000;9818319;89;2018-01-02 07:26:52;9.76813;59.011;10.0;308.0;310;0;1
231800000;9818319;89;2018-01-02 07:27:01;9.76752;59.0113;9.9;308.4;310;0;1
231800000;9818319;89;2018-01-02 07:27:12;9.76683;59.0116;9.9;311.5;310;0;1
