tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
48,500846,5/19/2015,4,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,762 WESTCHESTER AVENUE,10455,Bronx,201,2,Bronx,17,79,32,BX34,Melrose South-Mott Haven North,2007900,New York,40.81801261,-73.90481457,1010596.37,237315.5143,17,79,2097788,2026760002
49,500836,5/19/2015,13,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,792 EAST 152 STREET,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81569096,-73.90534575,1010450.257,236469.4927,8,79,2004682,2026530071
50,500836,5/19/2015,13,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,815 EAST 152 STREET,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81586397,-73.90528582,1010466.778,236532.544,17,79,2091989,2026650001
51,500836,5/19/2015,13,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,WiresRope,No,No,No,Yes,No,No,No,No,No,683 TINTON AVENUE,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81601914,-73.90526447,1010472.627,236589.0843,17,79,2004684,2026540001
52,500836,5/19/2015,5,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,683 TINTON AVENUE,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81614784,-73.90525289,1010475.783,236635.9782,17,79,2004684,2026540001
53,500836,5/19/2015,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,TreesCount Staff,WiresRope,No,No,No,Yes,No,No,No,No,No,683 TINTON AVENUE,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.8161744,-73.90525049,1010476.434,236645.6564,17,79,2004684,2026540001
54,500836,5/19/2015,4,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,683 TINTON AVENUE,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81627244,-73.90524158,1010478.864,236681.3781,17,79,2004684,2026540001
55,500836,5/19/2015,4,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,683 TINTON AVENUE,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81637977,-73.90523166,1010481.567,236720.4849,17,79,2004684,2026540001
56,500836,5/19/2015,11,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,683 TINTON AVENUE,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81644,-73.90522609,1010483.084,236742.4327,17,79,2004684,2026540001
57,500836,5/19/2015,5,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,683 TINTON AVENUE,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81652625,-73.90521812,1010485.256,236773.8575,17,79,2004684,2026540001
58,500836,5/19/2015,4,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,683 TINTON AVENUE,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81655254,-73.90521569,1010485.92,236783.4359,17,79,2004684,2026540001
59,500836,5/19/2015,5,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,green ash,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,683 TINTON AVENUE,10455,Bronx,201,2,Bronx,17,84,29,BX34,Melrose South-Mott Haven North,2007900,New York,40.81657937,-73.90521318,1010486.602,236793.2122,17,79,2004684,2026540001
60,501882,5/19/2015,8,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,705 BRUCKNER BOULEVARD,10455,Bronx,202,2,Bronx,17,85,32,BX27,Hunts Point,2009300,New York,40.81329838,-73.89818534,1012433.268,235600.0144,8,85,2094339,2027290001
61,501882,5/19/2015,51,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,705 BRUCKNER BOULEVARD,10455,Bronx,202,2,Bronx,17,85,32,BX27,Hunts Point,2009300,New York,40.8133917,-73.89805389,1012469.616,235634.0567,8,85,2094339,2027290001
